date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type,is_synthetic,hotspot
2024-08-30,Panvel,Crawford Market,35.76125822379744,0.3698222454834795,00:14,Storm,Monday,Janmashtami,49.9,freeway,1,0
2024-12-25,Kurla,Bandra,5.54,0.6,04:01,Clear,Wednesday,Christmas/NewYear,10.0,freeway,0,0
2023-03-26,Colaba,Bandra Kurla Complex,19.971234898549422,0.7598221951001769,04:38,Cloudy,Wednesday,No,62.8,urban,1,0
2023-03-22,Eastern Freeway Start,Byculla,14.78,1.0,08:03,Heavy Rain,Wednesday,Gudi Padwa,94.7,urban,0,1
2023-03-15,Kalyan,Bandra,41.32526822727705,0.9446179788499296,18:25,Cloudy,Wednesday,Holi,189.6,urban,1,1
2022-10-18,Malad,Mohammad Ali Road,27.32,0.78,00:30,Cloudy,Tuesday,No,81.6,urban,0,0
2024-11-01,Ghatkopar,Worli,18.1,0.84,15:26,Rain,Friday,Diwali,102.0,urban,0,0
2024-09-18,Byculla,Bandra Kurla Complex,9.67,0.89,09:21,Cloudy,Wednesday,No,40.3,urban,0,0
2023-12-08,Panvel,Kalyan,41.34,0.71,11:59,Cloudy,Friday,No,122.6,urban,0,0
2024-02-07,Sion,Mohammad Ali Road,13.56,0.85,05:27,Rain,Wednesday,No,56.8,urban,0,0
2024-09-27,Panvel,Mohammad Ali Road,45.58864159199756,0.8122048544443038,06:41,Clear,Thursday,Navratri,132.0,urban,1,0
2022-03-07,Sion,Malad,21.9,0.73,13:28,Clear,Monday,No,66.2,urban,0,0
2025-01-13,Vashi,Fort,27.97958440645052,0.6891054845924423,23:16,Clear,Wednesday,Christmas/NewYear,83.3,urban,1,0
2024-04-23,Dombivli,Girgaon,49.536001389393554,0.9329137695677562,23:00,Clear,Thursday,Gudi Padwa,350.2,congested,1,1
2022-12-09,Goregaon,Bandra,12.32601226294774,0.7009255545678791,04:54,Clear,Saturday,No,37.9,urban,1,0
2023-07-17,Airoli,Andheri,23.12,0.97,12:39,Rain,Monday,No,289.7,congested,0,1
2024-01-14,Lalbaug,Marine Lines,7.15,0.86,16:00,Rain,Sunday,No,33.1,urban,0,0
2023-12-13,Girgaon,Panvel,47.11432914243881,0.8511787855157328,04:41,Rain,Thursday,No,213.4,urban,1,0
2024-05-28,Lalbaug,Crawford Market,4.110227673689805,0.941638038030944,17:58,Cloudy,Thursday,No,39.1,congested,1,1
2024-10-14,Western Express Highway,Crawford Market,16.84,0.34,03:27,Clear,Monday,No,19.4,freeway,0,0
2023-01-21,Panvel,Malad,40.78,0.98,17:54,Cloudy,Saturday,No,414.8,congested,0,1
2023-01-22,Thane,Western Express Highway,33.80827748256529,0.6126182292179417,23:34,Rain,Thursday,No,53.0,freeway,1,0
2024-05-16,Lalbaug,Crawford Market,4.12,0.99,18:11,Cloudy,Thursday,No,39.1,congested,0,1
2022-04-22,Colaba,Bandra Kurla Complex,22.095257408152875,0.3260457880169009,22:23,Clear,Monday,Eid,24.6,freeway,1,0
2022-04-24,Marine Lines,Vashi,36.53083022330067,0.9613920784555476,12:26,Rain,Monday,Eid,440.4,congested,1,1
2024-10-23,Chembur,Matunga,9.67,0.81,23:00,Clear,Wednesday,No,27.7,urban,0,0
2024-10-03,Fort,CST,0.95,0.76,06:07,Clear,Thursday,Navratri,3.1,urban,0,0
2022-01-26,Crawford Market,Marine Lines,4.03,0.97,03:31,Clear,Wednesday,No,32.1,congested,0,1
2024-01-25,Panvel,Eastern Freeway Start,31.59224522116042,0.8838081167106925,04:20,Clear,Friday,No,251.2,congested,1,0
2023-10-04,Bandra,Kurla,5.405289730503038,0.96930071609779,17:08,Cloudy,Monday,No,53.6,congested,1,1
2024-08-14,Kurla,Nerul,20.934275565462176,0.8400917023477098,23:17,Clear,Monday,Janmashtami,128.9,urban,1,0
2024-06-20,Mohammad Ali Road,Marine Lines,1.8800512047500848,0.9030002830646232,12:06,Cloudy,Monday,No,7.5,urban,1,1
2022-06-25,Ghatkopar,Dadar,13.515830068825997,0.956650656633344,16:57,Heavy Rain,Wednesday,No,197.0,congested,1,1
2023-03-27,Powai,Vashi,13.58464403519806,0.9719659774249017,11:00,Clear,Wednesday,No,125.0,congested,1,1
2023-12-16,Airoli,Girgaon,38.01554805793808,0.8088789313708572,00:29,Clear,Friday,No,121.2,urban,1,0
2022-11-13,Thane,CST,40.1,0.37,03:12,Cloudy,Sunday,No,42.7,freeway,0,0
2025-01-07,Bandra,Colaba,19.39445780563396,1.0,19:28,Cloudy,Saturday,No,251.7,congested,1,1
2022-07-26,Andheri,Powai,9.082041581698512,0.8296690193989024,10:05,Rain,Monday,Independence Day,63.6,urban,1,0
2022-05-09,Chembur,CST,21.30722242454113,0.9758566793971056,03:04,Rain,Monday,Eid,295.3,congested,1,1
2023-05-03,Dadar,Bhandup,27.54,0.66,19:25,Rain,Wednesday,No,60.0,freeway,0,0
2024-12-25,Dombivli,Dadar,34.16,0.2,11:37,Clear,Wednesday,Christmas/NewYear,32.5,freeway,0,0
2024-02-25,Colaba,Dadar,16.453029926928306,0.8760119850144088,07:46,Clear,Monday,Ramadan Evenings,72.4,urban,1,0
2022-07-31,Matunga,Kalyan,45.86,0.28,01:56,Cloudy,Sunday,No,43.3,freeway,0,0
2023-10-21,Lalbaug,Mulund,32.04,0.2,11:39,Clear,Saturday,No,30.4,freeway,0,0
2022-04-29,Dadar,Marine Lines,12.194546816822257,0.8018831639546018,23:22,Cloudy,Friday,No,34.3,urban,1,0
2023-09-19,Eastern Freeway Start,Worli,18.48,0.91,15:29,Rain,Tuesday,Ganesh Chaturthi,201.8,congested,0,1
2022-04-14,Sion,Marine Lines,15.67,0.8,06:04,Clear,Thursday,No,44.6,urban,0,0
2023-08-25,Kalyan,Ghatkopar,46.03,0.49,05:53,Rain,Friday,No,67.6,freeway,0,0
2022-12-19,Borivali,Girgaon,41.94,0.93,11:59,Rain,Monday,No,555.1,congested,0,1
2024-01-29,Matunga,Fort,15.38,0.82,16:39,Clear,Monday,No,59.3,urban,0,0
2023-03-31,Dadar,Kurla,7.2522026534271875,0.9528840492123724,06:54,Cloudy,Thursday,Ramadan Evenings,51.3,congested,1,1
2022-10-25,Vashi,Fort,34.37644187758214,0.9776271452027412,05:38,Clear,Wednesday,Navratri,280.9,congested,1,1
2023-11-23,Powai,Crawford Market,20.86,0.98,18:54,Clear,Thursday,No,235.6,congested,0,1
2024-10-15,Worli,Andheri,20.256130312710024,0.2942771861899635,21:28,Clear,Sunday,No,20.7,freeway,1,0
2022-11-24,Kurla,Lalbaug,11.834994333600308,0.841114080461309,23:22,Rain,Monday,No,42.5,urban,1,0
2023-09-24,Panvel,Crawford Market,37.59698119050086,1.0,13:36,Heavy Rain,Monday,No,316.0,urban,1,1
2023-09-14,Colaba,Sion,21.47678717429477,0.9849948039168642,04:42,Heavy Rain,Monday,No,175.6,urban,1,1
2024-09-08,Mulund,Panvel,35.768269804947465,0.3364987219334523,16:59,Cloudy,Monday,Janmashtami,40.2,freeway,1,0
2022-09-07,Dombivli,Girgaon,50.71222178296303,0.4620154332896194,22:55,Rain,Monday,No,69.8,freeway,1,0
2024-04-20,Powai,Kurla,10.211112539145653,0.7923555168495683,06:31,Clear,Monday,No,33.2,urban,1,0
2024-05-27,Juhu,Nerul,29.09379245461369,0.5558185256701089,05:36,Rain,Wednesday,No,40.6,freeway,1,0
2023-05-18,Vashi,Airoli,13.011675552661966,0.7223581185851007,16:02,Clear,Sunday,No,35.8,urban,1,0
2023-10-15,Mulund,Chembur,19.72,0.96,14:03,Clear,Sunday,Navratri,151.0,congested,0,1
2024-02-05,Dadar,Juhu,13.47,0.46,12:36,Cloudy,Monday,No,17.9,freeway,0,0
2022-03-21,Western Express Highway,Goregaon,12.783222200735343,0.2865169019504728,23:00,Clear,Friday,Holi,13.7,freeway,1,0
2022-01-03,Worli,Nerul,27.27,0.56,08:00,Clear,Monday,No,47.8,freeway,0,0
2023-04-21,Bhandup,Ghatkopar,11.809889405491008,0.79025193710868,08:54,Clear,Friday,Eid,74.9,urban,1,0
2022-09-08,Bandra Kurla Complex,Thane,27.08,1.0,23:50,Rain,Thursday,No,238.9,urban,0,1
2024-10-25,Eastern Freeway Start,Borivali,22.79,0.6,06:11,Clear,Friday,No,40.7,freeway,0,0
2022-10-26,Girgaon,Andheri,24.83,0.93,20:44,Rain,Wednesday,Navratri,146.6,urban,0,1
2022-07-19,Lalbaug,Thane,33.96,0.57,21:28,Heavy Rain,Tuesday,No,64.3,freeway,0,0
2022-01-29,Marine Lines,Chembur,18.49,0.93,13:55,Clear,Saturday,No,131.3,congested,0,1
2024-09-17,Girgaon,Ghatkopar,19.964792116231813,0.934115999412802,06:13,Rain,Saturday,Ganesh Chaturthi,150.1,urban,1,1
2023-10-15,Borivali,Bandra Kurla Complex,29.44,1.0,16:28,Heavy Rain,Sunday,Navratri,152.9,urban,0,1
2024-09-01,Thane,Panvel,41.122386232573895,0.7855371291195674,18:37,Rain,Saturday,Ganesh Chaturthi,246.0,urban,1,0
2022-11-21,Marine Lines,Vashi,28.59,0.36,14:20,Clear,Monday,No,30.4,freeway,0,0
2023-01-10,Borivali,Dadar,28.29,0.47,19:00,Clear,Tuesday,No,35.5,freeway,0,0
2022-04-06,Bandra Kurla Complex,Borivali,25.452650050921907,0.2829366658545684,14:51,Storm,Saturday,Gudi Padwa,34.5,freeway,1,0
2024-09-04,Bandra,Sion,6.11,1.0,20:58,Rain,Wednesday,No,90.3,congested,0,1
2022-06-10,Kurla,Andheri,8.229549058807017,0.9999442484851396,06:33,Cloudy,Tuesday,No,64.6,congested,1,1
2022-04-02,Girgaon,Malad,30.43,0.78,08:03,Storm,Saturday,Gudi Padwa,92.4,freeway,0,0
2024-08-28,Malad,Kurla,15.110539184933463,0.8398669251338202,09:12,Cloudy,Friday,No,54.1,urban,1,0
2022-07-26,Vashi,Girgaon,28.150254382635342,0.9020789600294664,01:36,Cloudy,Monday,No,236.2,congested,1,1
2023-11-03,Nerul,Byculla,26.76833227130413,0.7211514941478188,11:59,Clear,Sunday,Diwali,84.3,urban,1,0
2024-04-16,Bhandup,Juhu,18.04425116364812,0.8736442365416924,15:33,Clear,Sunday,No,55.3,urban,1,0
2022-09-03,Mulund,Bandra,21.47,0.89,12:53,Heavy Rain,Saturday,No,156.4,urban,0,0
2022-01-29,Mohammad Ali Road,Mulund,36.88,0.28,06:48,Clear,Saturday,No,35.7,freeway,0,0
2022-10-24,Goregaon,Andheri,6.54,0.89,21:06,Clear,Monday,Diwali,33.5,urban,0,0
2023-05-06,Matunga,Sion,2.9270432617174205,1.0,19:03,Clear,Wednesday,No,22.6,urban,1,1
2024-10-11,Western Express Highway,Bandra Kurla Complex,3.076886959815149,0.8180472439785246,10:22,Clear,Wednesday,No,13.2,urban,1,0
2023-07-21,Kurla,Lalbaug,13.690740260615218,0.9925301102075832,18:04,Cloudy,Sunday,No,128.6,congested,1,1
2023-02-15,Marine Lines,Worli,8.985862528115922,0.8634313894982221,17:29,Clear,Saturday,No,34.5,urban,1,0
2022-03-22,Bandra Kurla Complex,Andheri,9.739399880257714,0.4372577175204741,20:16,Clear,Thursday,No,11.8,freeway,1,0
2024-01-20,Panvel,Mohammad Ali Road,44.13748805165805,0.4591799214692253,09:50,Cloudy,Thursday,No,63.0,freeway,1,0
2022-11-11,Mohammad Ali Road,Andheri,28.239369638347988,0.2702661361269752,13:51,Clear,Sunday,No,26.5,freeway,1,0
2023-12-15,Airoli,Girgaon,38.52,0.77,00:18,Clear,Friday,No,121.2,urban,0,0
2024-11-19,Western Express Highway,Girgaon,17.23515971042445,0.8404493029562263,03:21,Clear,Tuesday,No,51.7,urban,1,0
2024-02-15,Malad,Kalyan,41.26538780637927,0.5224637660150694,18:53,Cloudy,Monday,No,67.7,freeway,1,0
2022-08-15,Dadar,Girgaon,11.111229865150332,0.9600212873150028,11:45,Clear,Sunday,No,87.7,congested,1,1
2022-03-02,Juhu,Malad,11.349779062963082,0.9662279888735824,16:35,Storm,Friday,Holi,62.8,urban,1,1
2022-10-19,Kurla,Mulund,18.28790362634256,0.6513100811711673,13:28,Heavy Rain,Monday,Diwali,29.9,freeway,1,0
2023-09-07,CST,Vashi,28.7241474222874,0.9620080877442247,02:46,Cloudy,Monday,No,265.8,congested,1,1
2024-05-02,Powai,Ghatkopar,6.633045104297509,0.3260706178738169,11:50,Cloudy,Thursday,No,7.3,freeway,1,0
2022-11-28,Crawford Market,Kurla,14.144910412109072,0.9376043963839326,08:01,Cloudy,Monday,No,68.0,urban,1,1
2024-12-28,Lalbaug,Colaba,14.234904978697058,0.9503806253509895,04:07,Cloudy,Monday,No,128.9,congested,1,1
2023-03-23,Matunga,Eastern Freeway Start,8.61,0.84,22:37,Cloudy,Thursday,Ramadan Evenings,28.5,urban,0,0
2024-09-07,Panvel,Eastern Freeway Start,34.92809498237092,0.5439433638849702,07:01,Cloudy,Saturday,Ganesh Chaturthi,57.3,freeway,1,0
2022-12-30,Mohammad Ali Road,Ghatkopar,19.463263980110334,0.7894391127171936,21:10,Cloudy,Thursday,No,56.8,urban,1,0
2024-03-09,Worli,Mohammad Ali Road,5.73,0.96,07:07,Clear,Saturday,No,74.2,congested,0,1
2022-05-05,Sion,Chembur,5.563374709401854,0.7641196988419832,13:08,Rain,Sunday,No,22.7,urban,1,0
2023-09-29,Chembur,Dombivli,24.31020828461193,0.9034074174087832,09:53,Rain,Wednesday,No,145.4,urban,1,1
2024-09-02,Belapur,Bandra Kurla Complex,29.45,0.94,03:17,Rain,Monday,No,280.6,congested,0,1
2024-08-07,Lalbaug,Girgaon,7.153143898116855,0.8697575056200603,12:46,Clear,Monday,Janmashtami,22.2,urban,1,0
2024-08-11,Andheri,CST,27.516698142947085,0.4995557972467588,14:30,Rain,Saturday,No,38.8,freeway,1,0
2024-03-11,Fort,Thane,40.59,0.84,14:58,Clear,Monday,Ramadan Evenings,142.6,urban,0,0
2023-02-28,Lalbaug,Panvel,34.5,0.81,07:57,Cloudy,Tuesday,No,143.2,urban,0,0
2022-04-08,Panvel,Juhu,40.20298725643109,0.9859692872028106,10:24,Heavy Rain,Sunday,Ramadan Evenings,253.6,urban,1,1
2022-08-16,CST,Belapur,27.636961650350035,0.3029762338815126,21:57,Clear,Sunday,No,27.3,freeway,1,0
2022-03-03,Western Express Highway,Matunga,7.679483597485142,0.9034216383767762,11:03,Clear,Friday,Holi,57.8,congested,1,1
2022-03-07,Byculla,Bhandup,26.91944917847819,0.9027749782671596,01:11,Rain,Thursday,No,113.7,urban,1,1
2024-08-19,Mohammad Ali Road,Western Express Highway,16.42,0.87,01:23,Heavy Rain,Monday,No,128.8,urban,0,0
2022-08-08,Crawford Market,Vashi,27.721626791387365,0.98835194967425,00:00,Heavy Rain,Monday,Independence Day,192.7,urban,1,1
2022-08-18,Sion,Belapur,22.84,0.79,12:26,Clear,Thursday,Janmashtami,64.3,urban,0,0
2022-04-02,Worli,Kalyan,61.74,0.26,13:31,Cloudy,Saturday,Gudi Padwa,65.9,freeway,0,0
2024-11-08,Bandra Kurla Complex,CST,15.24,0.9,02:26,Cloudy,Friday,No,118.2,congested,0,1
2023-11-17,Western Express Highway,Eastern Freeway Start,8.71240820777848,0.9664722447325446,08:34,Cloudy,Friday,No,64.0,urban,1,1
2024-01-16,Juhu,CST,26.91,0.55,09:42,Rain,Tuesday,No,41.0,freeway,0,0
2024-05-17,Colaba,Fort,4.74,0.76,11:41,Clear,Friday,No,15.4,urban,0,0
2023-05-06,Dombivli,Bandra,32.74,0.48,18:57,Clear,Saturday,No,44.9,freeway,0,0
2023-03-28,Mulund,Dadar,27.47978695128296,0.922100621219468,19:37,Clear,Monday,No,351.0,congested,1,1
2022-03-28,Western Express Highway,Belapur,29.8136606819608,0.859551563424087,02:30,Clear,Saturday,Gudi Padwa,239.9,congested,1,0
2023-02-21,Borivali,Thane,14.552117161369685,0.7740353511684519,11:44,Cloudy,Wednesday,No,41.9,urban,1,0
2023-10-30,Bhandup,Marine Lines,33.68083170272327,0.5278409447437621,14:58,Storm,Sunday,Diwali,45.7,freeway,1,0
2024-06-25,Chembur,CST,18.467356488713893,0.7487766732601252,22:09,Rain,Thursday,No,83.2,urban,1,0
2022-07-15,Borivali,Kurla,20.59064467711597,0.8451068550948704,15:04,Cloudy,Tuesday,No,61.6,urban,1,0
2023-07-08,CST,Kurla,19.98,0.91,18:16,Rain,Saturday,No,112.4,urban,0,1
2023-03-23,Airoli,Juhu,23.57,0.93,01:32,Cloudy,Thursday,No,198.0,congested,0,1
2023-02-28,Bhandup,Malad,13.86,0.84,07:27,Cloudy,Tuesday,No,60.3,urban,0,0
2023-03-31,Worli,Chembur,14.222659290086767,0.8002023919822788,16:24,Cloudy,Friday,No,42.5,urban,1,0
2024-04-11,Nerul,Colaba,34.1,0.5,07:52,Cloudy,Thursday,Gudi Padwa,50.2,freeway,0,0
2024-02-13,Ghatkopar,Thane,25.05,0.38,03:03,Clear,Tuesday,No,28.0,freeway,0,0
2023-02-22,Ghatkopar,Bandra,9.079566646735882,0.3446501732961203,08:19,Clear,Wednesday,No,10.7,freeway,1,0
2023-04-29,Vashi,Bhandup,12.950851695184046,0.7233162722317878,04:49,Clear,Friday,Eid,41.1,urban,1,0
2022-08-20,Goregaon,Bhandup,15.580769315043488,0.9235767758338218,04:01,Heavy Rain,Wednesday,Ganesh Chaturthi,88.6,urban,1,1
2023-05-21,Worli,Kalyan,50.85364262979006,0.7599178596355425,13:50,Cloudy,Tuesday,No,164.2,urban,1,0
2022-06-24,Nerul,Panvel,16.44643424355839,0.8006314201190026,01:18,Rain,Saturday,No,57.5,urban,1,0
2022-10-05,Kalyan,Bhandup,31.32,0.29,02:44,Cloudy,Wednesday,No,29.8,freeway,0,0
2024-07-20,Girgaon,Mulund,34.14,0.47,08:21,Cloudy,Saturday,No,44.7,freeway,0,0
2022-08-24,Bandra,Girgaon,15.268738765217496,0.9574335517654065,03:14,Cloudy,Thursday,Janmashtami,196.2,congested,1,1
2022-12-25,Borivali,Goregaon,12.08,0.81,06:31,Clear,Sunday,No,36.2,urban,0,0
2023-02-18,Sion,Matunga,3.619155562155103,0.811177562218501,15:06,Clear,Wednesday,Holi,10.3,urban,1,0
2023-12-08,Malad,Bhandup,15.2,0.9,15:07,Fog,Friday,No,157.8,congested,0,1
2024-01-25,Nerul,Goregaon,34.30165488560289,0.8001921564666326,17:10,Fog,Monday,No,183.2,urban,1,0
2023-10-20,Chembur,Dombivli,25.57224706667075,0.9428079577251808,09:33,Rain,Wednesday,No,145.4,urban,1,1
2022-02-25,Bandra Kurla Complex,Byculla,9.541331367244316,0.9485854150834386,04:20,Rain,Saturday,No,90.7,congested,1,1
2022-04-19,Kalyan,Western Express Highway,42.99144287817332,0.7774279087830944,21:00,Clear,Monday,Eid,175.3,urban,1,0
2024-03-25,Crawford Market,Belapur,28.61,0.83,22:59,Clear,Monday,Holi,100.3,urban,0,0
2024-03-11,Kalyan,Dadar,46.39,0.75,14:21,Cloudy,Monday,Ramadan Evenings,154.3,urban,0,0
2024-04-02,Matunga,Borivali,28.34,0.91,15:42,Rain,Tuesday,No,289.6,congested,0,1
2024-09-07,Airoli,Lalbaug,31.14,0.94,05:56,Rain,Saturday,Ganesh Chaturthi,201.5,urban,0,1
2023-12-29,Panvel,Dombivli,16.25821811492985,0.957207468051122,09:23,Fog,Saturday,No,189.5,congested,1,1
2022-03-13,Kalyan,Crawford Market,59.77573536982911,0.6906882968918125,08:02,Clear,Saturday,Gudi Padwa,130.5,freeway,1,0
2022-05-21,Goregaon,Bandra,13.62,0.81,07:58,Clear,Saturday,No,67.5,urban,0,0
2024-02-09,Dadar,Mulund,23.50093011886074,0.8737953933778259,18:41,Clear,Monday,No,123.1,urban,1,0
2023-07-19,Chembur,Borivali,23.62351332083741,0.2238647338876751,21:24,Clear,Friday,No,21.9,freeway,1,0
2024-07-29,Andheri,Eastern Freeway Start,12.7,0.9,18:58,Rain,Monday,No,77.0,urban,0,1
2023-07-15,Fort,Powai,33.360823858926565,0.8517159178895854,12:25,Rain,Saturday,No,136.6,urban,1,0
2024-10-03,Dadar,Kalyan,51.76,0.61,19:08,Cloudy,Thursday,Navratri,95.2,freeway,0,0
2022-08-22,CST,Bandra,15.768361538835377,0.9055569780629554,14:43,Heavy Rain,Wednesday,Ganesh Chaturthi,119.2,urban,1,1
2024-03-04,Worli,Bandra,11.13703264275283,0.9556671238992342,17:59,Heavy Rain,Monday,Ramadan Evenings,88.3,urban,1,1
2022-05-25,Kalyan,Goregaon,44.29,0.54,19:46,Clear,Wednesday,No,69.5,freeway,0,0
2022-01-18,Juhu,Goregaon,9.65,0.75,05:56,Clear,Tuesday,No,31.4,urban,0,0
2022-08-19,Lalbaug,Sion,8.315331210757154,0.8664134129561955,22:18,Storm,Thursday,Janmashtami,33.6,freeway,1,0
2022-04-07,Bandra Kurla Complex,Andheri,9.75,0.4,20:25,Clear,Thursday,No,11.8,freeway,0,0
2022-09-02,Thane,Bhandup,11.24894707784639,0.8619806704152942,02:32,Rain,Tuesday,No,37.5,urban,1,0
2022-11-08,Mohammad Ali Road,Girgaon,1.0405451204434328,1.0,00:41,Clear,Wednesday,No,16.6,congested,1,1
2024-08-28,Fort,Chembur,21.57,0.87,07:02,Cloudy,Wednesday,No,99.8,urban,0,0
2024-09-07,Western Express Highway,Bandra Kurla Complex,3.02,0.75,15:02,Rain,Saturday,Ganesh Chaturthi,10.7,urban,0,0
2024-10-03,Byculla,Colaba,12.75,0.91,17:06,Clear,Thursday,Navratri,133.5,congested,0,1
2023-04-25,Goregaon,Airoli,22.405639996386945,0.7021347204265539,21:40,Clear,Friday,Eid,68.3,urban,1,0
2022-04-02,Thane,Girgaon,43.032358115242126,0.3691119221534566,03:27,Rain,Sunday,No,50.7,freeway,1,0
2022-08-18,Borivali,Eastern Freeway Start,30.53,0.71,12:33,Cloudy,Thursday,Janmashtami,85.3,urban,0,0
2024-06-15,Chembur,CST,21.35,0.72,21:52,Cloudy,Saturday,No,65.6,urban,0,0
2022-06-09,Bandra Kurla Complex,Sion,4.714013946315366,0.834167676404846,15:35,Clear,Thursday,No,37.0,congested,1,0
2024-08-21,Kurla,Dadar,7.762618287021356,1.0,12:32,Heavy Rain,Monday,Janmashtami,105.5,urban,1,1
2022-11-15,Kurla,Goregaon,13.506832131321543,0.9784326645291744,16:28,Clear,Friday,No,105.0,congested,1,1
